id,title,original_title,overview,premiere_date,popularity,genre,country_origin,original_language,rating,votes
33,The Apothecary Diaries,????????,"Maomao lived a peaceful life with her apothecary father. Until one day, she's sold as a lowly servant to the emperor's palace. But she wasn't meant for a compliant life among royalty. So when imperial heirs fall ill, she decides to step in and find a cure! This catches the eye of Jinshi, a handsome palace official who promotes her. Now, she's making a name for herself solving medical mysteries!",10/22/2023,28.8855,"Animation, Drama, Mystery",Japan,Japanese,8.614,471
34,I Am Not an Animal,I Am Not an Animal,"I Am Not An Animal is an animated comedy series about the only six talking animals in the world, whose cosseted existence in a vivisection unit is turned upside down when they are liberated by animal rights activists.",5/10/2004,1.6613,"Animation, Comedy, Sci-Fi & Fantasy",United Kingdom,English,8.6,785
35,Solo Leveling,???????????,"They say whatever doesn’t kill you makes you stronger, but that’s not the case for the world’s weakest hunter Sung Jinwoo. After being brutally slaughtered by monsters in a high-ranking dungeon, Jinwoo came back with the System, a program only he could see, that’s leveling him up in every way. Now, he’s inspired to discover the secrets behind his powers and the dungeon that spawned them.",1/7/2024,35.5635,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,8.608,1434
36,Planet Earth II,Planet Earth II,David Attenborough presents a documentary series exploring how animals meet the challenges of surviving in the most iconic habitats on earth.,11/6/2016,5.0673,"Documentary, Family",United Kingdom,English,8.6,864
37,Ranma ½,???1/2,"Ranma Saotome, a teenage martial artist, and his father Genma travel to the 'cursed training ground' of Jusenkyo in China. There, despite the warnings of the Chinese guard, they fall into the cursed springs. From now on, whenever Ranma is doused in cold water, he turns into a girl and a cute, well-built redhead at that. Hot water changes him back into a man again, but only until the next time. To make matters worse, his father engages him to Akane Tendo, a girl who hates boys.",4/15/1989,26.7125,"Comedy, Action & Adventure, Animation, Sci-Fi & Fantasy",Japan,Japanese,8.6,1477
38,Run BTS!,??? ??!,"Run BTS! is a variety web series starring BTS, broadcasting intermittent for free viewing on Weverse and YouTube, was formerly offered weekly for free viewing on V LIVE.",8/1/2015,12.8989,Reality,South Korea,Korean,8.606,371
39,Haikyu!!,?????!!,"Inspired by a small-statured pro volleyball player, Shouyou Hinata creates a volleyball team in his last year of middle school. Unfortunately the team is matched up against the ""King of the Court"" Tobio Kageyama's team in their first tournament and inevitably lose. After the crushing defeat, Hinata vows to surpass Kageyama. After entering high school, Hinata joins the volleyball team only to find that Tobio has also joined.",4/6/2014,17.6834,"Animation, Comedy, Drama",Japan,Japanese,8.6,1444
40,The Wire,The Wire,"Told from the points of view of both the Baltimore homicide and narcotics detectives and their targets, the series captures a universe in which the national war on drugs has become a permanent, self-sustaining bureaucracy, and distinctions between good and evil are routinely obliterated.",6/2/2002,40.4145,"Crime, Drama",United States,English,8.6,2493
41,Weak Hero,????,"With the aid of unexpected friends, a gifted but introverted student confronts bullies and violent foes — unaware of how dangerous his world will become.",11/18/2022,37.0399,"Action & Adventure, Drama",South Korea,Korean,8.599,323
42,Merlí,Merlí,"He’s surly, unorthodox, unapologetically blunt, and he’s about to change your life. Meet the new philosophy teacher, Merlí, who will help his students view the world in a whole new light, both in and out of the classroom.",9/14/2015,4.2113,"Comedy, Drama",Spain,Catalan,8.6,1146
